"","V1","V2","V3"
"1","End date","2/26/2017",""
"2","Specimen label","1AT_7",""
"3","Maximum Load","0.00847","N"
"4","Time","Extension","Load"
"5","(s)","(mm)","(N)"
"6","0.00000","0.00000","0.00081"
"7","0.00600","0.00000","0.00073"
"8","0.01200","0.00006","0.00057"
"9","0.01800","0.00012","0.00055"
"10","0.02400","0.00018","0.00070"
"11","0.03000","0.00030","0.00089"
"12","0.03600","0.00042","0.00089"
"13","0.04200","0.00060","0.00077"
"14","0.04800","0.00084","0.00056"
"15","0.05400","0.00102","0.00052"
"16","0.06000","0.00132","0.00050"
"17","0.06600","0.00155","0.00062"
"18","0.07200","0.00191","0.00074"
"19","0.07800","0.00227","0.00082"
"20","0.08400","0.00263","0.00099"
"21","0.09000","0.00305","0.00117"
"22","0.09600","0.00347","0.00141"
"23","0.10200","0.00395","0.00156"
"24","0.10800","0.00448","0.00149"
"25","0.11400","0.00496","0.00135"
"26","0.12000","0.00550","0.00121"
"27","0.12600","0.00610","0.00107"
"28","0.13200","0.00664","0.00086"
"29","0.13800","0.00723","0.00069"
"30","0.14400","0.00783","0.00054"
"31","0.15000","0.00843","0.00061"
"32","0.15600","0.00909","0.00069"
"33","0.16200","0.00975","0.00077"
"34","0.16800","0.01034","0.00094"
"35","0.17400","0.01106","0.00109"
"36","0.18000","0.01172","0.00122"
"37","0.18600","0.01238","0.00124"
"38","0.19200","0.01303","0.00127"
"39","0.19800","0.01375","0.00130"
"40","0.20400","0.01441","0.00119"
"41","0.21000","0.01507","0.00094"
"42","0.21600","0.01572","0.00065"
"43","0.22200","0.01638","0.00050"
"44","0.22800","0.01698","0.00053"
"45","0.23400","0.01764","0.00065"
"46","0.24000","0.01824","0.00087"
"47","0.24600","0.01889","0.00097"
"48","0.25200","0.01955","0.00104"
"49","0.25800","0.02015","0.00107"
"50","0.26400","0.02075","0.00103"
"51","0.27000","0.02140","0.00099"
"52","0.27600","0.02200","0.00092"
"53","0.28200","0.02266","0.00096"
"54","0.28800","0.02326","0.00096"
"55","0.29400","0.02386","0.00088"
"56","0.30000","0.02445","0.00076"
"57","0.30600","0.02505","0.00059"
"58","0.31200","0.02565","0.00049"
"59","0.31800","0.02619","0.00056"
"60","0.32400","0.02679","0.00068"
"61","0.33000","0.02732","0.00090"
"62","0.33600","0.02786","0.00118"
"63","0.34200","0.02846","0.00134"
"64","0.34800","0.02894","0.00129"
"65","0.35400","0.02948","0.00119"
"66","0.36000","0.03007","0.00116"
"67","0.36600","0.03061","0.00122"
"68","0.37200","0.03109","0.00136"
"69","0.37800","0.03163","0.00140"
"70","0.38400","0.03217","0.00145"
"71","0.39000","0.03270","0.00151"
"72","0.39600","0.03324","0.00156"
"73","0.40200","0.03378","0.00161"
"74","0.40800","0.03432","0.00158"
"75","0.41400","0.03480","0.00141"
"76","0.42000","0.03534","0.00124"
"77","0.42600","0.03581","0.00106"
"78","0.43200","0.03629","0.00092"
"79","0.43800","0.03677","0.00075"
"80","0.44400","0.03731","0.00061"
"81","0.45000","0.03779","0.00066"
"82","0.45600","0.03833","0.00083"
"83","0.46200","0.03880","0.00100"
"84","0.46800","0.03928","0.00107"
"85","0.47400","0.03982","0.00105"
"86","0.48000","0.04030","0.00097"
"87","0.48600","0.04078","0.00078"
"88","0.49200","0.04131","0.00073"
"89","0.49800","0.04179","0.00084"
"90","0.50400","0.04227","0.00098"
"91","0.51000","0.04275","0.00099"
"92","0.51600","0.04329","0.00092"
"93","0.52200","0.04377","0.00085"
"94","0.52800","0.04430","0.00072"
"95","0.53400","0.04478","0.00070"
"96","0.54000","0.04526","0.00080"
"97","0.54600","0.04580","0.00090"
"98","0.55200","0.04628","0.00087"
"99","0.55800","0.04676","0.00091"
"100","0.56400","0.04729","0.00100"
"101","0.57000","0.04777","0.00094"
"102","0.57600","0.04825","0.00079"
"103","0.58200","0.04873","0.00082"
"104","0.58800","0.04921","0.00088"
"105","0.59400","0.04974","0.00084"
"106","0.60000","0.05022","0.00077"
"107","0.60600","0.05070","0.00074"
"108","0.61200","0.05118","0.00075"
"109","0.61800","0.05172","0.00076"
"110","0.62400","0.05220","0.00080"
"111","0.63000","0.05267","0.00079"
"112","0.63600","0.05315","0.00079"
"113","0.64200","0.05363","0.00070"
"114","0.64800","0.05411","0.00071"
"115","0.65400","0.05465","0.00068"
"116","0.66000","0.05513","0.00063"
"117","0.66600","0.05560","0.00073"
"118","0.67200","0.05614","0.00086"
"119","0.67800","0.05662","0.00094"
"120","0.68400","0.05716","0.00105"
"121","0.69000","0.05764","0.00113"
"122","0.69600","0.05818","0.00109"
"123","0.70200","0.05865","0.00093"
"124","0.70800","0.05913","0.00074"
"125","0.71400","0.05967","0.00062"
"126","0.72000","0.06015","0.00071"
"127","0.72600","0.06063","0.00087"
"128","0.73200","0.06110","0.00101"
"129","0.73800","0.06164","0.00111"
"130","0.74400","0.06212","0.00112"
"131","0.75000","0.06260","0.00126"
"132","0.75600","0.06314","0.00145"
"133","0.76200","0.06362","0.00156"
"134","0.76800","0.06415","0.00148"
"135","0.77400","0.06463","0.00135"
"136","0.78000","0.06517","0.00139"
"137","0.78600","0.06565","0.00152"
"138","0.79200","0.06619","0.00163"
"139","0.79800","0.06667","0.00163"
"140","0.80400","0.06714","0.00150"
"141","0.81000","0.06762","0.00124"
"142","0.81600","0.06816","0.00088"
"143","0.82200","0.06864","0.00062"
"144","0.82800","0.06918","0.00066"
"145","0.83400","0.06965","0.00087"
"146","0.84000","0.07019","0.00116"
"147","0.84600","0.07067","0.00154"
"148","0.85200","0.07121","0.00171"
"149","0.85800","0.07169","0.00170"
"150","0.86400","0.07217","0.00162"
"151","0.87000","0.07270","0.00158"
