"date","analysis_date","filename","specimen_label","max_load","dist_max","median","variance","num_threads_used","single_breaks","multiple_break_groups","total_thread_breaks","QC_flag","b1","b2","b3","b4","b5","b6","b7","b8"
"11/4/2016",2018-09-05 11:37:03,"PV_161104Specimen_RawData_7.csv","63G_","2.39940",0.124210581399257,0.14108,0.109750108228243,36,31,5,43,0,31,3,2,0,0,0,0,0
"11/4/2016",2018-09-05 11:37:03,"PV_161104Specimen_RawData_8.csv","63G21","0.01685",0.119861768743794,0.14649,0.111189197938191,37,31,6,44,0,31,5,1,0,0,0,0,0
"11/14/2016",2018-09-05 11:37:03,"PV_161114Specimen_RawData_1.csv","20AG60","0.05133",0.119861768743794,0.14649,0.111189197938191,37,31,6,44,0,31,5,1,0,0,0,0,0
"11/14/2016",2018-09-05 11:37:03,"PV_161114Specimen_RawData_2.csv","20AG60","1.40394",0.204291462673932,0.20925,0.0690535142031853,7,7,0,7,0,7,0,0,0,0,0,0,0
"11/14/2016",2018-09-05 11:37:03,"PV_161114Specimen_RawData_3.csv","20AG59","0.54546",0.173898164642648,0.16539,0.085309701675718,7,7,0,7,0,7,0,0,0,0,0,0,0
"11/14/2016",2018-09-05 11:37:03,"PV_161114Specimen_RawData_4.csv","20AG64U","0.26425",0.112249758494889,0.182785,0.101137482913112,2,2,0,2,1,2,0,0,0,0,0,0,0
"11/14/2016",2018-09-05 11:37:03,"PV_161114Specimen_RawData_5.csv","20BT61","0.31734",0.0975778768546542,0.134405,0.113178570306691,6,4,2,8,1,4,2,0,0,0,0,0,0
"11/14/2016",2018-09-05 11:37:03,"PV_161114Specimen_RawData_7.csv","20BT63.2.r2","0.05861",0.0509984183117594,0.046565,0.00635688996286707,2,2,0,2,1,2,0,0,0,0,0,0,0
"11/14/2016",2018-09-05 11:37:03,"PV_161114Specimen_RawData_8.csv","20BT60","0.35281",0.162316261803893,0.16035,0.075202795958661,5,5,0,5,0,5,0,0,0,0,0,0,0
"11/14/2016",2018-09-05 11:37:03,"PV_161114Specimen_RawData_9.csv","20BT57","0.48450",0.0801432855237701,0.10422,0.0899573514723981,8,6,2,10,0,6,2,0,0,0,0,0,0
"12/16/2016",2018-09-05 11:37:03,"PV_161216Specimen_RawData_1.csv","6DG_44","0.70196",0.087223449423443,0.124495,0.112879360309707,8,7,1,10,0,7,0,1,0,0,0,0,0
"12/16/2016",2018-09-05 11:37:03,"PV_161216Specimen_RawData_5.csv","15BT_21","0.21588",0.0550902595580635,0.06053,0.108286179635261,3,2,1,5,1,2,0,1,0,0,0,0,0
"12/16/2016",2018-09-05 11:37:03,"PV_161216Specimen_RawData_6.csv","15BT_19","0.60469",0.13599338472604,0.14025,0.0751765819630091,13,13,0,13,0,13,0,0,0,0,0,0,0
"12/16/2016",2018-09-05 11:37:03,"PV_161216Specimen_RawData_7.csv","15AG_19","0.22100",0.226046602749447,0.14949,0.1097712567114,2,2,0,2,1,2,0,0,0,0,0,0,0
"11/4/2016",2018-09-05 11:37:03,"PV_161104Specimen_RawData_5.csv","","1.49282",9999,9999,9999,0,2,0,2,1,2,0,0,0,0,0,0,0
"11/4/2016",2018-09-05 11:37:03,"PV_161104Specimen_RawData_7.csv","63G_","2.39940",0.124210581399257,0.14108,0.109750108228243,36,31,5,43,0,31,3,2,0,0,0,0,0
"11/4/2016",2018-09-05 11:37:03,"PV_161104Specimen_RawData_8.csv","63G21","0.01685",0.119861768743794,0.14649,0.111189197938191,37,31,6,44,0,31,5,1,0,0,0,0,0
"11/14/2016",2018-09-05 11:37:03,"PV_161114Specimen_RawData_1.csv","20AG60","0.05133",0.119861768743794,0.14649,0.111189197938191,37,31,6,44,0,31,5,1,0,0,0,0,0
"11/14/2016",2018-09-05 11:37:03,"PV_161114Specimen_RawData_2.csv","20AG60","1.40394",0.204291462673932,0.20925,0.0690535142031853,7,7,0,7,0,7,0,0,0,0,0,0,0
"11/14/2016",2018-09-05 11:37:03,"PV_161114Specimen_RawData_3.csv","20AG59","0.54546",0.173898164642648,0.16539,0.085309701675718,7,7,0,7,0,7,0,0,0,0,0,0,0
"11/14/2016",2018-09-05 11:37:03,"PV_161114Specimen_RawData_4.csv","20AG64U","0.26425",0.112249758494889,0.182785,0.101137482913112,2,2,0,2,1,2,0,0,0,0,0,0,0
"11/14/2016",2018-09-05 11:37:03,"PV_161114Specimen_RawData_5.csv","20BT61","0.31734",0.0975778768546542,0.134405,0.113178570306691,6,4,2,8,1,4,2,0,0,0,0,0,0
"11/14/2016",2018-09-05 11:37:03,"PV_161114Specimen_RawData_7.csv","20BT63.2.r2","0.05861",0.0509984183117594,0.046565,0.00635688996286707,2,2,0,2,1,2,0,0,0,0,0,0,0
"11/14/2016",2018-09-05 11:37:03,"PV_161114Specimen_RawData_8.csv","20BT60","0.35281",0.162316261803893,0.16035,0.075202795958661,5,5,0,5,0,5,0,0,0,0,0,0,0
"11/14/2016",2018-09-05 11:37:03,"PV_161114Specimen_RawData_9.csv","20BT57","0.48450",0.0801432855237701,0.10422,0.0899573514723981,8,6,2,10,0,6,2,0,0,0,0,0,0
"12/16/2016",2018-09-05 11:37:03,"PV_161216Specimen_RawData_1.csv","6DG_44","0.70196",0.087223449423443,0.124495,0.112879360309707,8,7,1,10,0,7,0,1,0,0,0,0,0
"12/16/2016",2018-09-05 11:37:03,"PV_161216Specimen_RawData_5.csv","15BT_21","0.21588",0.0550902595580635,0.06053,0.108286179635261,3,2,1,5,1,2,0,1,0,0,0,0,0
"12/16/2016",2018-09-05 11:37:03,"PV_161216Specimen_RawData_6.csv","15BT_19","0.60469",0.13599338472604,0.14025,0.0751765819630091,13,13,0,13,0,13,0,0,0,0,0,0,0
"12/16/2016",2018-09-05 11:37:03,"PV_161216Specimen_RawData_7.csv","15AG_19","0.22100",0.226046602749447,0.14949,0.1097712567114,2,2,0,2,1,2,0,0,0,0,0,0,0
