"Ptime","Pload","Vtime","Vload","yDelta"
175.83,1.47644,176.004,1.34111,0.13533
181.554,1.47265,181.62,1.24229,0.23036
215.202,2.14043,215.286,2.00128,0.13915
216.408,2.02092,216.48,1.87791,0.14301
227.57401,1.56855,227.646,1.19016,0.37839
245.664,1.70286,245.784,1.42246,0.2804
266.31601,2.1724,266.508,1.87728,0.29512
274.974,2.23646,275.05801,2.13721,0.0992500000000001
293.91,1.62643,294.01199,1.50775,0.11868
294.98999,1.52881,295.10999,1.38,0.14881
311.17801,2.09143,311.25,1.90013,0.1913
314.082,1.97938,314.39401,1.80165,0.17773
325.21799,2.24879,325.314,2.12579,0.123
325.35599,2.12608,325.44601,2.03812,0.0879599999999998
326.17801,2.03991,326.25,1.91312,0.12679
326.41199,1.91056,326.51999,1.84296,0.0676000000000001
328.17599,1.92056,328.24799,1.80851,0.11205
328.40399,1.82417,328.48199,1.7144,0.10977
334.61401,1.73287,334.686,1.6814,0.0514699999999999
334.96799,1.68153,335.05801,1.53072,0.15081
343.84201,1.82201,343.92599,1.73974,0.0822699999999998
347.97,1.84054,348.06,1.59376,0.24678
354.108,1.70095,354.19199,1.32458,0.37637
383.09399,1.37163,383.15399,1.30906,0.06257
389.62201,1.44088,389.71799,0.98006,0.46082
404.39401,1.30243,404.47198,1.2408,0.0616300000000001
419.32199,0.69744,419.418,0.55897,0.13847
420.48599,0.58938,420.564,0.46744,0.12194
448.78201,0.78818,448.84201,0.58768,0.2005
470.83801,0.84216,470.91,0.57414,0.26802
502.90201,0.91927,503.01599,0.80442,0.11485
513.06,0.9358,513.138,0.58353,0.35227
565.88397,0.59275,565.94397,0.53312,0.05963
581.43597,0.67766,581.51398,0.53051,0.14715
604.44,0.79714,604.59003,0.63224,0.1649
605.38202,0.61794,605.53802,0.1857,0.43224
