"X","Ptime","Pload","Vtime","Vload","yDelta"
1,175.5,1.47855,176.112,1.33206,0.14649
2,181.554,1.47265,181.96201,1.22723,0.24542
4,215.202,2.14043,215.562,1.99686,0.14357
5,216.408,2.02092,216.87601,1.8679,0.15302
7,227.508,1.57119,227.76601,1.19776,0.37343
8,245.68201,1.70262,245.87399,1.41707,0.28555
9,266.31601,2.1724,266.496,1.87873,0.29367
10,274.98001,2.23639,275.12399,2.13639,0.1
12,282.672,1.14687,282.69601,1.09631,0.0505600000000002
14,283.04401,1.13449,283.07999,1.06741,0.06708
19,293.91,1.62643,294,1.5096,0.11683
20,295.00201,1.52847,295.09799,1.38315,0.14532
21,311.17801,2.09143,311.23801,1.90682,0.18461
22,314.08801,1.9792,314.48999,1.79895,0.18025
23,325.21799,2.24879,326.35199,1.9089,0.33989
24,326.41199,1.91056,326.59799,1.84033,0.07023
25,328.18201,1.92046,328.23599,1.81086,0.1096
26,328.40399,1.82417,328.45801,1.719,0.10517
27,328.548,1.71932,328.85999,1.53751,0.18181
28,334.61401,1.73287,335.11801,1.52728,0.20559
29,343.84201,1.82201,344.052,1.7387,0.08331
30,347.97,1.84054,348.048,1.59473,0.24581
31,354.11401,1.70094,354.17999,1.33303,0.36791
33,383.09399,1.37163,383.142,1.31364,0.05799
34,389.62799,1.44074,389.80801,0.9876,0.45314
35,391.27802,1.02667,391.42801,0.96582,0.06085
36,404.39401,1.30243,404.53799,1.23922,0.06321
38,419.34601,0.69718,419.40601,0.56276,0.13442
39,420.48599,0.58938,420.552,0.4715,0.11788
40,448.78201,0.78818,448.90201,0.59502,0.19316
41,470.83801,0.84216,470.89801,0.58002,0.26214
42,502.92001,0.91884,503.004,0.80674,0.1121
43,513.06,0.9358,513.23401,0.5815,0.3543
45,565.89001,0.59266,565.95001,0.53349,0.0591699999999999
46,581.44202,0.67754,581.50201,0.54414,0.1334
47,604.48798,0.79571,604.72803,0.61753,0.17818
48,605.448,0.61646,605.59198,0.20043,0.41603
