"Ptime","Pload","Vtime","Vload","yDelta"
206.526,0.26694,206.616,0.22013,0.04681
241.902,0.66248,241.974,0.49574,0.16674
242.634,0.49798,242.706,0.29835,0.19963
265.8,0.74697,265.986,0.6824,0.06457
266.766,0.68705,266.85,0.47213,0.21492
270.678,0.52457,270.786,0.15806,0.36651
302.37,0.73555,302.502,0.46891,0.26664
312.09,0.55081,312.156,0.45295,0.09786
319.578,0.54883,319.668,0.41633,0.1325
320.892,0.41948,321.06,0.22794,0.19154
334.74,0.39298,334.878,0.24896,0.14402
354.33,0.43384,354.372,0.36142,0.07242
357.564,0.36382,357.618,0.20271,0.16111
460.806,0.2999,460.902,-0.04093,0.34083
