"Ptime","Pload","Vtime","Vload"
206.526,0.26694,206.616,0.22013
241.902,0.66248,241.974,0.49574
242.634,0.49798,242.706,0.29835
265.8,0.74697,265.986,0.6824
266.766,0.68705,266.85,0.47213
270.678,0.52457,270.786,0.15806
302.37,0.73555,302.502,0.46891
312.09,0.55081,312.156,0.45295
319.578,0.54883,319.668,0.41633
320.892,0.41948,321.06,0.22794
334.74,0.39298,334.878,0.24896
354.33,0.43384,354.372,0.36142
357.564,0.36382,357.618,0.20271
364.488,0.22555,364.62,-0.02007
425.892,0.30532,425.958,-0.0208
460.806,0.2999,460.902,-0.04093
461.016,-0.00206,461.034,-0.01793
461.052,-0.00272,461.07,-0.01592
