,Mesocosm,Food,deg.C,deg.F,old_label,new_label,repeated,level_plexiglass,species,specimen_ID,date,analysis_date,filename,max_load,dist_max,median,variance,num_threads_used,single_breaks,multiple_break_groups,total_thread_breaks,QC_flag,b1,b2,b3,b4,b5,b6,b7,b8
1,1,L,15,59,1BG_6,01BG_6,0,B,G,55,2/25/17,4/22/19,PV_170225_2Specimen_RawData_2.csv,0.15376,0.070300452,0.08049,0.030757423,5,5,0,5,0,5,0,0,0,0,0,0,0
2,1,L,15,59,1BG_8,01BG_8,0,B,G,78,2/25/17,4/22/19,PV_170225_1Specimen_RawData_9.csv,0.26037,0.062810862,0.082005,0.064751618,8,7,1,9,0,7,1,0,0,0,0,0,0
3,1,L,15,59,1CT_3,01CT_3,0,C,T,23,2/25/17,4/22/19,PV_170225_2Specimen_RawData_4.csv,0.09211,0.067325234,0.06276,0.021014525,4,4,0,4,1,4,0,0,0,0,0,0,0
4,1,L,15,59,1DG_unk,01DG_unk,0,D,G,98,2/25/17,4/22/19,PV_170225_2Specimen_RawData_8.csv,0.4118,0.062216404,0.08224,0.123776396,6,4,2,10,1,4,1,0,1,0,0,0,0
5,1,L,15,59,1BG_5,01BG_5,0,B,G,46,2/25/17,4/22/19,PV_170225_1Specimen_RawData_10.csv,0.25051,0.050699603,0.06844,0.104574125,3,2,1,5,1,2,0,1,0,0,0,0,0
6,2,H,12,53.6,2DG_11,02DG_11,0,D,G,2,1/8/17,4/22/19,PV_170108_1Specimen_RawData_2.csv,0.19822,0.060574642,0.065155,0.057934812,6,5,1,7,0,5,1,0,0,0,0,0,0
7,2,H,12,53.6,2AT_15,02AT_15,0,A,T,6,2/25/17,4/22/19,PV_170225_1Specimen_RawData_5.csv,0.21246,0.068440273,0.07534,0.074777144,4,3,1,5,1,3,1,0,0,0,0,0,0
8,2,H,12,53.6,2BG_13,02BG_13,0,B,G,4,2/26/17,4/22/19,PV_170226_1Specimen_RawData_10.csv,0.69358,0.031440074,0.03167,0.043342941,3,2,1,5,1,2,0,1,0,0,0,0,0
9,2,H,12,53.6,2DG_15,02DG_15,0,D,G,6,1/8/17,4/22/19,PV_170108_1Specimen_RawData_1.csv,0.19619,9999,0.130145,0.010076272,2,2,0,2,1,2,0,0,0,0,0,0,0
10,3,H,12,53.6,3BT_18,03BT_18,0,B,T,9,1/22/17,4/22/19,PV_170122_1Specimen_RawData_1.csv,0.23093,0.06298339,0.07742,0.101195637,4,3,1,6,1,3,0,1,0,0,0,0,0
11,3,H,12,53.6,3BT_19,03BT_19,0,B,T,10,1/22/17,4/22/19,PV_170122_1Specimen_RawData_3.csv,0.13672,0.059322734,0.07118,0.050420561,3,3,0,3,1,3,0,0,0,0,0,0,0
12,3,H,12,53.6,3CT_21,03CT_21,0,C,T,12,1/22/17,4/22/19,PV_170122_2Specimen_RawData_3.csv,0.29249,0.109761423,0.10953,0.055206735,5,5,0,5,0,5,0,0,0,0,0,0,0
13,3,H,12,53.6,3CT_24,03CT_24,0,C,T,16,1/22/17,4/22/19,PV_170122_2Specimen_RawData_4.csv,1.32302,0.094286606,0.11275,0.075136001,23,20,3,26,0,20,3,0,0,0,0,0,0
14,3,H,12,53.6,3CT_94,03CT_94,0,C,T,90,1/22/17,4/22/19,PV_170122_2Specimen_RawData_6.csv,1.27545,0.140432256,0.17322,0.069721276,13,13,0,13,0,13,0,0,0,0,0,0,0
15,3,H,12,53.6,3CT_17_run2,03CT_17run2,0,C,T,8,1/22/17,4/22/19,PV_170122_2Specimen_RawData_2.csv,0.29793,0.07830256,0.10653,0.101266112,4,3,1,5,1,3,1,0,0,0,0,0,0
16,3,H,12,53.6,3AG_19,03AG_19,0,A,G,10,1/7/17,4/22/19,PV_170107_2Specimen_RawData_6.csv,0.51913,0.064716976,0.092395,0.116033526,6,5,1,8,0,5,0,1,0,0,0,0,0
17,3,H,12,53.6,3AG_22,03AG_22,0,A,G,14,1/7/17,4/22/19,PV_170107_2Specimen_RawData_7.csv,0.73679,0.067619719,0.092305,0.093416135,12,10,2,15,0,10,1,1,0,0,0,0,0
18,3,H,12,53.6,3AG_24,03AG_24,0,A,G,16,1/7/17,4/22/19,PV_170107_2Specimen_RawData_5.csv,0.03907,9999,NA,NA,0,15,2,19,1,15,2,0,0,0,0,0,0
19,4,L,21,69.8,4DG_32,04DG_32,0,D,G,27,1/21/17,4/22/19,PV_170121_1Specimen_RawData_10.csv,0.96321,0.163183472,0.1721,0.082529295,7,7,0,7,0,7,0,0,0,0,0,0,0
20,4,L,21,69.8,4BG_28,04BG_28,0,B,G,20,2/26/17,4/22/19,PV_170226_1Specimen_RawData_5.csv,0.36069,0.090054467,0.114355,0.102038177,8,7,1,9,0,7,1,0,0,0,0,0,0
21,4,L,21,69.8,4BG_29,04BG_29,0,B,G,21,2/26/17,4/22/19,PV_170226_1Specimen_RawData_6.csv,0.86594,0.100254909,0.124525,0.119845832,12,9,3,16,0,9,2,1,0,0,0,0,0
22,4,L,21,69.8,4DG_25,04DG_25,0,D,G,17,1/21/17,4/22/19,PV_170121_1Specimen_RawData_9.csv,0.99007,0.060086555,0.06969,0.075786886,13,10,3,18,0,10,1,2,0,0,0,0,0
23,4,L,21,69.8,4DG_31,04DG_31,0,D,G,25,1/21/17,4/22/19,PV_170121_3Specimen_RawData_1.csv,1.04612,0.127834079,0.12086,0.066988777,15,14,1,16,0,14,1,0,0,0,0,0,0
24,5,H,21,69.8,5DT_35,05DT_35,0,D,T,31,2/25/17,4/22/19,PV_170225_2Specimen_RawData_6.csv,0.1718,0.116865693,0.08836,0.040846858,7,7,0,7,0,7,0,0,0,0,0,0,0
25,5,H,21,69.8,5CG_33,05CG_33,0,C,G,29,2/25/17,4/22/19,PV_170225_1Specimen_RawData_8.csv,0.06402,9999,0.04466,0.00920653,2,2,0,2,1,2,0,0,0,0,0,0,0
26,5,H,21,69.8,5CG_36,05CG_36,0,C,G,32,2/25/17,4/22/19,PV_170225_1Specimen_RawData_7.csv,0.35865,0.120933819,0.11712,0.046739924,6,6,0,6,0,6,0,0,0,0,0,0,0
27,5,H,21,69.8,5CG_38,05CG_38,0,C,G,34,2/25/17,4/22/19,PV_170225_1Specimen_RawData_6.csv,0.28303,0.033923485,0.03715,0.149919514,3,2,1,9,1,2,0,0,0,0,0,1,0
28,5,H,21,69.8,5BT_33,05BT_33,0,B,T,29,2/26/17,4/22/19,PV_170226_2Specimen_RawData_3.csv,0.16845,9999,0.090585,0.017585746,2,2,0,2,1,2,0,0,0,0,0,0,0
29,6,H,15,59,6AT_47,06AT_47,0,A,T,43,2/26/17,4/22/19,PV_170226_1Specimen_RawData_9.csv,0.19279,0.053931938,0.06108,0.077436677,3,2,1,4,1,2,1,0,0,0,0,0,0
30,6,H,15,59,6BG_41,06BG_41,0,B,G,37,2/25/17,4/22/19,PV_170225_2Specimen_RawData_3.csv,1.72377,0.184721588,0.16851,0.117840146,24,21,3,27,0,21,3,0,0,0,0,0,0
31,6,H,15,59,6CT_42,06CT_42,0,C,T,38,12/17/16,4/22/19,PV_161217Specimen_RawData_2.csv,0.30066,0.069836415,0.09142,0.134912296,3,2,1,5,1,2,0,1,0,0,0,0,0
32,6,H,15,59,6CT_43,06CT_43,1,C,T,39,12/17/16,4/22/19,PV_161217Specimen_RawData_3.csv,0.38913,0.083761128,0.106965,0.090306262,8,7,1,10,0,7,0,1,0,0,0,0,0
33,6,H,15,59,6CT_43_run2,06CT_43run2,0,C,T,40,12/17/16,4/22/19,PV_161217Specimen_RawData_4.csv,0.34031,0.09148635,0.09134,0.036291788,5,5,0,5,0,5,0,0,0,0,0,0,0
34,6,H,15,59,6DG_44,06DG_44,0,D,G,41,12/16/16,4/22/19,PV_161216Specimen_RawData_1.csv,0.70196,0.070502228,0.09432,0.112738806,9,6,3,13,0,6,2,1,0,0,0,0,0
35,7,H,18,64.4,7AG_53,07AG_53,0,A,G,49,2/26/17,4/22/19,PV_170226_2Specimen_RawData_10.csv,0.0332,9999,NA,NA,0,2,1,4,1,2,1,0,0,0,0,0,0
