"","old_label","new_label","repeated","mesocosm","level_plexiglass","species","specimen_ID","date","analysis_date","filename","max_load","dist_max","median","variance","num_threads_used","single_breaks","multiple_break_groups","total_thread_breaks","QC_flag","b1","b2","b3","b4","b5","b6","b7","b8"
"1","10BG_Unk1","10BG_Unk1",0,10,"B","G",102,"2/12/2017","2019-04-22","PV_170212_1Specimen_RawData_1.csv",0.11691,9999,0.080295,0.0624870262534552,2,2,0,2,1,2,0,0,0,0,0,0,0
"2","10BG_Unk2","10BG_Unk2",0,10,"B","G",103,"2/12/2017","2019-04-22","PV_170212_1Specimen_RawData_2.csv",0.64592,0.188283238297667,0.20893,0.107526215780153,5,5,0,5,0,5,0,0,0,0,0,0,0
"3","10DG_57","10DG_57",0,10,"D","G",52,"1/8/2017","2019-04-22","PV_170108_1Specimen_RawData_6.csv",0.74509,0.0708092278431117,0.10502,0.107153960583272,14,10,4,20,0,10,2,2,0,0,0,0,0
"4","10DG_59","10DG_59",0,10,"D","G",54,"1/8/2017","2019-04-22","PV_170108_1Specimen_RawData_7.csv",0.72436,0.113488593677421,0.160255,0.140117698156467,6,5,1,7,0,5,1,0,0,0,0,0,0
"5","10DG_no #","10DG_noNum",0,10,"D","G",94,"1/8/2017","2019-04-22","PV_170108_1Specimen_RawData_8.csv",0.5014,0.188895766130188,0.16254,0.0733156258015075,6,6,0,6,0,6,0,0,0,0,0,0,0
"6","11AT_86","11AT_86",0,11,"A","T",85,"1/8/2017","2019-04-22","PV_170108_1Specimen_RawData_4.csv",0.17094,0.0870807473401232,0.087645,0.0548190739311297,4,4,0,4,1,4,0,0,0,0,0,0,0
"7","11BG_81_1","11BG_81.1",0,11,"B","G",81,"12/26/2016","2019-04-22","PV_161226_2Specimen_RawData_4.csv",0.25816,0.118569638998313,0.10727,0.0488879559128149,3,3,0,3,1,3,0,0,0,0,0,0,0
"8","11BG_84","11BG_84",0,11,"B","G",83,"12/26/2016","2019-04-22","PV_161226_2Specimen_RawData_1.csv",0.83001,0.102480515807337,0.12592,0.124830166737763,9,7,2,12,0,7,1,1,0,0,0,0,0
"9","11DG_unk1","11DG_unk1",0,11,"D","G",101,"1/8/2017","2019-04-22","PV_170108_2Specimen_RawData_2.csv",0.74045,0.18142929612125,0.19661,0.144322558973195,7,6,1,8,0,6,1,0,0,0,0,0,0
"10","11DG_Unk2","11DG_Unk2",0,11,"D","G",103,"1/8/2017","2019-04-22","PV_170108_2Specimen_RawData_1.csv",0.18525,0.154122356869425,0.12962,0.0768282528327524,3,3,0,3,1,3,0,0,0,0,0,0,0
"11","12BT_91","12BT_91",0,12,"B","T",88,"2/12/2017","2019-04-22","PV_170212_2Specimen_RawData_1.csv",0.13297,0.0437787694851822,0.05673,0.0472596131314396,3,2,1,4,1,2,1,0,0,0,0,0,0
