"Ptime","Pload","Vtime","Vload","yDelta"
128.4,0.35738,128.514,0.30002,0.05736
173.46,0.54888,173.586,0.29005,0.25883
173.604,0.30052,173.694,0.11412,0.1864
187.41,0.23704,187.53,0.13634,0.1007
230.91,0.58777,231,0.4565,0.13127
235.404,0.49453,235.5,0.40726,0.08727
252.264,0.58737,252.33,0.45726,0.13011
262.23,0.52109,262.524,0.27036,0.25073
262.53,0.27058,262.548,0.25595,0.01463
269.814,0.27887,270.018,0.03722,0.24165
340.47,0.28634,340.548,0.03514,0.2512
387.606,0.14619,387.894,0.06056,0.08563
497.838,0.15105,498.006,0.11905,0.032
