"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
82.512,0.08484,82.584,0.06427,0.02057,"y","1"
93.684,0.08889,93.726,0.0693,0.01959,"y","1"
100.608,0.08537,100.674,0.05272,0.03265,"y","1"
171.3,0.32923,171.366,0.14379,0.18544,"y","1"
243.738,0.45052,243.822,0.42169,0.02883,"y","2"
254.22,0.46121,254.286,0.1183,0.34291,"y","1"
254.292,0.12133,254.316,0.0963,0.02503,"n",NA
304.86,0.52115,304.95,0.41848,0.10267,"y","1"
310.968,0.48909,311.082,0.44416,0.04493,"y","1"
311.154,0.44356,311.226,0.38127,0.06229,"y","1"
311.328,0.38537,311.388,0.35166,0.03371,"y","1"
311.562,0.35466,311.736,0.28089,0.07377,"y","1"
311.916,0.28003,312.072,0,0.28823,"y","1"
383.514,0.52656,383.604,0.19445,0.33211,"y","1"
400.662,0.41912,400.752,0.3563,0.06282,"y","1"
420.612,0.51276,420.696,0.46048,0.05228,"y","1"
422.058,0.46014,422.154,0.37677,0.08337,"y","1"
426.69,0.39612,426.762,0.36614,0.02998,"y","1"
451.68,0.55607,451.758,0.52006,0.03601,"y","1"
453.702,0.53107,453.78,0.35613,0.17494,"y","1"
460.89,0.41558,460.944,0.34613,0.06945,"y","1"
476.826,0.46543,476.88,0.36002,0.10541,"y","1"
486.144,0.41324,486.24,0.0541,0.35914,"y","1"
486.246,0.05505,486.264,0.03621,0.01884,"n",NA
486.312,0.05998,486.336,0.03947,0.02051,"n",NA
510.9,0.14969,510.984,0.02267,0.12702,"y","1"
553.422,0.12067,553.476,0,0.12349,"y","1"
