"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
103.842,0.84645,103.956,0.72897,0.11748,"y","1"
119.976,0.93445,120.042,0.80183,0.13262,"y","1"
123.552,0.82359,123.618,0.77801,0.0455800000000001,"y","1"
129.444,0.86687,129.504,0.74271,0.12416,"y","1"
160.77,1.15632,160.854,0.9831,0.17322,"y","1"
175.488,1.19512,175.554,0.97975,0.21537,"y","1"
198.468,1.23839,198.534,0.99005,0.24834,"y","1"
216.096,1.20722,216.18,0.99593,0.21129,"y","1"
241.554,1.27545,241.614,1.07326,0.20219,"y","1"
242.178,0.79531,242.304,0.64764,0.14767,"y","1"
256.446,0.80053,256.524,0.53095,0.26958,"y","1"
257.208,0.37536,257.406,0.27742,0.09794,"n",NA
262.482,0.29533,262.734,0.0243,0.27103,"y","1"
262.752,0.03909,262.77,0.02598,0.01311,"n",NA
