"Ptime","Pload","Vtime","Vload","yDelta"
175.908,1.47574,175.908,1.4324,0.0433400000000002
175.98599,1.4306,175.98599,1.34453,0.0860700000000001
181.62,1.47168,181.62,1.24229,0.22939
182.964,1.23932,182.964,1.20624,0.03308
215.274,2.14043,215.274,2.00298,0.13745
216.468,2.02092,216.468,1.88169,0.13923
219.414,1.93515,219.414,1.33184,0.60331
227.646,1.56855,227.646,1.19016,0.37839
245.778,1.7014,245.778,1.42301,0.27839
266.496,2.1724,266.496,1.87873,0.29367
275.04599,2.236,275.04599,2.13913,0.09687
282.62399,2.3994,282.62399,1.08036,1.31904
283.008,1.21432,283.008,1.08842,0.1259
293.98199,1.6261,293.98199,1.51204,0.11406
295.104,1.52598,295.104,1.38095,0.14503
311.25,2.09143,311.25,1.90013,0.1913
314.16599,1.9792,314.16599,1.85796,0.12124
314.26199,1.85224,314.26199,1.81349,0.0387500000000001
325.29599,2.24879,325.29599,2.12683,0.12196
325.44601,2.12517,325.44601,2.03812,0.0870499999999996
326.24399,2.03991,326.24399,1.91359,0.12632
326.48999,1.91056,326.48999,1.84491,0.06565
328.24799,1.92046,328.24799,1.80851,0.11195
328.47,1.82417,328.47,1.7146,0.10957
328.65601,1.71806,328.65601,1.54333,0.17473
334.668,1.73287,334.668,1.68311,0.0497599999999998
335.04001,1.68068,335.04001,1.53301,0.14767
343.914,1.82201,343.914,1.74068,0.0813299999999999
348.048,1.84011,348.048,1.59473,0.24538
354.19199,1.70094,354.19199,1.32458,0.37636
367.974,1.64084,367.974,1.05414,0.5867
383.15399,1.37163,383.15399,1.30906,0.06257
389.71799,1.43946,389.71799,0.98006,0.4594
391.362,1.02558,391.362,0.97675,0.0488299999999999
404.45999,1.30217,404.45999,1.24209,0.0600800000000001
410.82599,1.33651,410.82599,0.50202,0.83449
419.39999,0.69718,419.39999,0.5634,0.13378
420.54599,0.58912,420.54599,0.47179,0.11733
448.84201,0.78818,448.84201,0.58768,0.2005
470.89801,0.84216,470.89801,0.58002,0.26214
503.01599,0.91826,503.01599,0.80442,0.11384
513.138,0.9358,513.138,0.58353,0.35227
536.72998,0.84542,536.72998,0.23315,0.61227
565.94397,0.59266,565.94397,0.53312,0.0595399999999999
581.51398,0.67645,581.51398,0.53051,0.14594
604.59003,0.79426,604.59003,0.63224,0.16202
605.53802,0.61646,605.53802,0.1857,0.43076
605.86798,0.26236,605.86798,0.21158,0.05078
