"Ptime","Pload","Vtime","Vload","yDelta"
182.712,0.29455,182.712,0.20775,0.0868
284.076,0.34045,284.076,0.30895,0.0315
351.15,1.0649,351.15,0.9396,0.1253
409.002,1.42783,409.002,1.39158,0.0362499999999999
423.552,1.50222,423.552,1.39171,0.11051
439.14,1.53369,439.14,1.32302,0.21067
443.976,1.33618,443.976,1.25185,0.08433
445.89,1.26802,445.89,1.14211,0.12591
460.908,1.27317,460.908,1.06776,0.20541
462.402,1.06164,462.402,0.82996,0.23168
490.008,1.10173,490.008,0.57927,0.52246
493.632,0.52566,493.632,0.46203,0.06363
527.892,0.50713,527.892,0.22244,0.28469
713.466,0.74461,713.466,0.71296,0.03165
732.696,0.80455,732.696,0.76845,0.0361
744.468,0.80156,744.468,0.68421,0.11735
759.702,0.77933,759.702,0.65693,0.1224
759.804,0.65832,759.804,0.46331,0.19501
782.034,0.62702,782.034,0.29219,0.33483
853.302,0.62204,853.302,0.53752,0.08452
861.912,0.56747,861.912,0.3699,0.19757
