"Ptime","Pload","Vtime","Vload"
99.048,0.06574,99.078,0.05342
105.174,0.07259,105.204,0.06116
105.51,0.04624,105.534,0.03473
130.056,0.09342,130.092,0.07366
175.326,0.35752,175.392,0.2278
184.122,0.29976,184.176,0.23135
187.872,0.24568,187.944,0.06438
187.956,0.07081,187.974,0.06487
188.088,0.07415,188.106,0.06791
188.184,0.07259,188.202,0.0655
188.316,0.07764,188.334,0.07106
218.652,0.30567,218.712,0.22373
241.56,0.3886,241.608,0.32496
250.512,0.38117,250.566,0.19809
250.572,0.19756,250.59,0.18746
266.622,0.30958,266.67,-0.00503
266.682,0.01894,266.706,-0.02867
266.964,0.02484,266.988,0.01586
