"Ptime","Pload","Vtime","Vload"
230.286,0.22634,230.364,0.1795
274.332,0.64241,274.398,0.45915
274.428,0.461,274.434,0.45771
282.438,0.5377,282.51,0.09235
282.516,0.09244,282.528,0.08367
282.54,0.08574,282.558,0.07826
304.782,0.31601,304.896,0.2473
390.138,0.8229,390.222,0.27651
390.228,0.28071,390.24,0.26794
390.252,0.27425,390.264,0.26312
390.27,0.26292,390.294,0.24651
390.3,0.2456,390.312,0.23614
391.782,0.19122,391.842,0.15368
392.076,0.14717,392.136,0.12209
424.158,0.27655,424.206,0.19384
424.212,0.19357,424.23,0.18632
435.864,0.23258,435.96,0.01509
436.212,0.01432,436.242,0.003
