"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
39.468,0.09043,22.092,0.07868,0.01175,"n",NA
39.48,0.15928,39.546,0,0.16491,"y","1"
39.678,0.0113,39.69,0.00553,0.00577,"n",NA
39.75,0.01802,39.768,0.00685,0.01117,"n",NA
61.992,0.02612,62.028,0.00726,0.01886,"y","1"
73.476,0.02992,73.53,0.00765,0.02227,"y","1"
98.466,0.08437,98.544,0.00385,0.08052,"y","1"
103.968,0.02015,103.998,0.00691,0.01324,"y","1"
228.54,0.03478,228.564,0.01261,0.02217,"y","1"
228.714,0.01517,228.738,0.0034,0.01177,"n",NA
