"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
29.556,0.04137,29.628,0.01809,0.02328,"y","1"
29.646,0.02207,29.67,0.01273,0.00934,"n",NA
120.048,0.45232,120.138,0.19688,0.25544,"y","1"
120.648,0.19674,120.666,0.18869,0.00805,"n",NA
120.894,0.23641,120.93,0.21224,0.02417,"n",NA
120.936,0.21154,120.972,0.19451,0.01703,"n",NA
121.344,0.22745,121.38,0.20641,0.02104,"n",NA
123.582,0.2763,123.654,0.24501,0.03129,"n",NA
123.954,0.28443,124.038,0.24721,0.03722,"n",NA
124.32,0.28891,124.41,0.25286,0.03605,"n",NA
125.766,0.32328,125.838,0.28842,0.03486,"n",NA
126.12,0.33431,126.198,0.29208,0.04223,"n",NA
126.468,0.34062,126.564,0.29874,0.04188,"n",NA
