"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
253.146,0.04211,164.34,0.01738,0.02473,"n",NA
183.864,0.04578,183.918,0.01355,0.03223,"y","1"
191.646,0.02352,191.67,0.01507,0.00845,"y","1"
214.41,0.03573,214.428,0.03119,0.00454,"y","1"
228.324,0.04388,228.336,0.04043,0.00345,"n",NA
253.146,0.09442,253.224,0.00391,0.09051,"y","1"
253.362,0.01443,253.386,0.00913,0.0053,"n",NA
253.8,0.01315,253.818,0.00929,0.00386,"n",NA
254.034,0.01448,254.052,0.01097,0.00351,"n",NA
254.4,0.02181,254.424,0.01549,0.00632,"n",NA
254.91,0.024,254.958,0.0103,0.0137,"n",NA
365.64,0.29607,365.688,0,0.29865,"y","1"
365.7,0.02211,365.724,0,0.04637,"n",NA
366.168,0.01137,366.186,0.00733,0.00404,"n",NA
366.21,0.01129,366.228,0.00734,0.00395,"n",NA
366.252,0.01146,366.27,0.00762,0.00384,"n",NA
366.294,0.01155,366.312,0.0068,0.00475,"n",NA
366.336,0.01094,366.354,0.00703,0.00391,"n",NA
366.378,0.01064,366.396,0.00623,0.00441,"n",NA
366.462,0.01004,366.48,0.00652,0.00352,"n",NA
