"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
99.432,0.03717,99.48,0.00997,0.0272,"y","1"
99.498,0.01207,99.522,0.00325,0.00882,"n",NA
199.902,0.03531,199.938,0.01605,0.01926,"y","1"
199.956,0.01944,199.968,0.01719,0.00225,"n",NA
208.698,0.02921,208.734,0.02007,0.00914,"y","1"
326.496,0.03997,326.526,0.02266,0.01731,"y","1"
326.544,0.02435,326.562,0.02023,0.00412,"n",NA
371.772,0.04209,371.796,0.03472,0.00737,"y","1"
371.814,0.03333,371.826,0.03082,0.00251,"n",NA
411.096,0.03793,411.126,0.0291,0.00883,"y","1"
411.144,0.02701,411.156,0.02361,0.0034,"n",NA
503.298,0.05959,503.316,0.05625,0.00334,"n",NA
514.59,0.0592,514.638,0.04475,0.01445,"y","1"
