"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
229.044,0.5568,177.09,0.54077,0.01603,"n",NA
180.414,0.56639,180.462,0.54149,0.0248999999999999,"y","1"
229.068,0.97886,229.128,0.91206,0.0668,"y","1"
269.712,1.33726,269.748,1.3176,0.0196599999999998,"y","1"
272.196,1.3453,272.238,1.32665,0.0186499999999998,"y","1"
283.554,1.48782,283.602,1.47082,0.0169999999999999,"y","1"
287.592,1.54837,287.646,1.42992,0.11845,"y","1"
287.652,1.43088,287.658,1.42348,0.00739999999999985,"n",NA
287.67,1.42916,287.676,1.42471,0.00445000000000007,"n",NA
292.272,1.4908,292.326,1.44009,0.0507099999999998,"y","1"
303.516,1.60068,303.588,1.42133,0.17935,"y","1"
303.654,1.42592,303.66,1.42151,0.00441000000000003,"n",NA
313.584,0.24082,313.596,0.22346,0.01736,"n",NA
315.852,0.2957,315.912,0.26468,0.03102,"n",NA
316.158,0.29246,316.212,0.27092,0.02154,"n",NA
