"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
151.62,0.05611,34.158,0.04159,0.01452,"n",NA
151.644,0.28741,151.704,0.18295,0.10446,"y","1"
151.716,0.18638,151.728,0.18211,0.00427,"n",NA
153.414,0.19322,153.444,0.17882,0.0144,"y","1"
165.534,0.23149,165.6,0.11205,0.11944,"y","1"
175.218,0.139,175.278,0.10363,0.03537,"y","1"
178.038,0.12238,178.122,0.05575,0.06663,"y","1"
258.888,0.36011,258.972,0.02306,0.33705,"y","1"
305.658,0.28091,305.718,0.15469,0.12622,"y","1"
305.766,0.16555,305.778,0.15913,0.00642000000000001,"n",NA
327.528,0.24018,327.576,0.02606,0.21412,"y","1"
327.582,0.02612,327.606,0,0.03662,"n",NA
328.014,0.0262,328.032,0.01753,0.00867,"n",NA
328.14,0.02087,328.164,0.00945,0.01142,"n",NA
