"Ptime","Pload","Vtime","Vload","yDelta"
122.406,0.51068,122.544,0.45883,0.05185
122.874,0.45933,122.946,0.4068,0.05253
154.818,0.68919,154.902,0.64693,0.04226
164.898,0.73195,165,0.46958,0.26237
203.01,0.9781,203.076,0.90442,0.07368
215.454,1.06361,215.586,0.66201,0.4016
238.08,0.93032,238.146,0.82881,0.10151
246.882,0.90838,246.948,0.65003,0.25835
247.95,0.6205,248.094,0.39256,0.22794
288.774,1.02086,288.834,0.93985,0.0810100000000001
302.586,1.15301,302.67,1.06014,0.09287
306.492,1.11331,306.564,0.98467,0.12864
315.156,1.13625,315.222,0.99716,0.13909
329.334,1.13743,329.394,1.09347,0.04396
331.02,0.00233,331.05,-0.04959,0.05192
422.748,0.44611,422.904,0.05721,0.3889
468.168,0.47642,468.258,0.28947,0.18695
480.594,0.41957,480.744,0.32405,0.09552
486.438,0.38054,486.6,0.32195,0.05859
495.054,0.38777,495.15,0.02336,0.36441
589.116,0.61517,589.188,0.43809,0.17708
637.896,0.66414,637.974,0.56,0.10414
647.13,0.5601,647.262,0.11233,0.44777
730.698,0.60606,731.214,0.13464,0.47142
780.288,-0.01733,780.312,-0.08404,0.06671
