date,analysis_date_time,analysis_criteria,filename,specimen_label,max_load,dist_max,median,variance,single_breaks,multiple_break_groups,total_thread_breaks,QC_flag,b1,b2,b3,b4,b5,b6,b7,b8
1/1/18,1/1/18,comments here,example,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/1/18,1/1/18,comments here,example,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/1/18,1/1/18,comments here,example,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/1/18,1/1/18,comments here,example,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/1/18,1/1/18,comments here,example,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/1/18,1/1/18,comments here,example,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/1/18,1/1/18,comments here,example,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/1/18,1/1/18,comments here,example,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/1/18,1/1/18,comments here,example,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/1/18,1/1/18,comments here,example,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/1/18,1/1/18,comments here,example,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/1/18,1/1/18,comments here,example,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/1/18,1/1/18,comments here,example,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/1/18,1/1/18,comments here,example,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/1/18,1/1/18,comments here,example,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/1/18,1/1/18,comments here,example,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/1/18,1/1/18,comments here,example,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/1/18,1/1/18,comments here,example,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/1/18,1/1/18,comments here,example,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/1/18,1/1/18,comments here,example,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/1/18,1/1/18,comments here,example,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/1/18,1/1/18,comments here,example,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/1/18,1/1/18,comments here,example,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/1/18,1/1/18,comments here,example,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/1/18,1/1/18,comments here,example,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/1/18,1/1/18,comments here,example,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/1/18,1/1/18,comments here,example,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
