"Ptime","Pload","Vtime","Vload"
145.368,0.43302,145.488,0.39883
153.372,0.48647,153.438,0.40067
167.808,0.50397,167.934,0.36602
174.072,0.38382,174.138,0.12874
179.34,0.17868,179.43,0.01237
254.64,0.48759,254.712,0.42379
254.766,0.42618,254.85,0.28593
284.172,0.60342,284.238,0.41024
284.244,0.41059,284.262,0.39613
290.136,0.41305,290.238,0.25744
290.25,0.27063,290.292,0.24486
319.416,0.43962,319.506,0.33804
320.226,0.32672,320.304,0.08391
346.758,0.22023,346.878,-0.02747
346.896,0.01293,346.92,-0.02982
