"Ptime","Pload","Vtime","Vload"
154.494,0.07794,154.548,0.03003
277.716,0.38188,277.83,0.27339
316.212,0.66473,316.308,0.42398
363.936,0.89215,363.996,0.8026
367.308,0.86194,367.386,0.82061
376.428,0.967,376.518,0.90161
382.962,0.99007,383.064,0.92238
384.918,0.94563,385.008,0.77271
387.39,0.76906,387.45,0.72659
388.776,0.69657,388.848,0.42691
417.354,0.63744,417.426,0.56775
424.368,0.59953,424.464,0.49163
435.552,0.57633,435.63,0.00319
435.642,0.01161,435.666,-0.00696
437.046,0.06492,437.148,0.01546
