num,old_label,new_label,sample_duplicate_run_exclude,specimen_label,notes,,old_label,new_label
1,1AT_2,01AT_2,0,1AT_2,,78,1AT_2,01AT_2
2,1BG_5,01BG_5,0,1BG_5,,79,1BG_5,01BG_5
3,1BG_6,01BG_6,0,1BG_6,,80,1BG_6,01BG_6
4,1BG_8,01BG_8,0,1BG_8,,81,1BG_8,01BG_8
5,1CT_3,01CT_3,0,1CT_3,,82,1CT_3,01CT_3
6,1DG_2,01DG_2,0,1DG_2,,83,1DG_2,01DG_2
7,1DG_unk,01DG_unk,0,1DG_unk,,84,1DG_unk,01DG_unk
8,2AT_11,02AT_11,0,2AT_11,,122,2AT_11,02AT_11
9,2AT_11,02AT_11,0,2AT_11,,123,2AT_11,02AT_11
10,2AT_13,02AT_13,0,2AT_13,,124,2AT_11,02AT_11
11,2AT_15,02AT_15,0,2AT_15,,125,2AT_11,02AT_11
12,2BG_13,02BG_13,0,2BG_13,,126,2AT_13,02AT_13
13,2DG_11,02DG_11,0,2DG_11,,127,2AT_15,02AT_15
,2DG_15,02DG_15,0,2DG_15,,128,2BG_13,02BG_13
14,3AG_19,03AG_19,0,3AG_19,,129,2DG_11,02DG_11
15,3AG_22,03AG_22,0,3AG_22,,130,2DG_15,02DG_15
16,3AG_24,03AG_24,0,3AG_24,,131,3AG_19,03AG_19
17,3BT_18,03BT_18,0,3BT_18,,132,3AG_22,03AG_22
18,3BT_19,03BT_19,0,3BT_19,,133,3AG_24,03AG_24
19,3CT_17,03CT_17,0,3CT_17,,134,3BT_18,03BT_18
20,3CT_17_run2,03CT_17run2,0,3CT_17_run2,,135,3BT_19,03BT_19
21,3CT_21,03CT_21,0,3CT_21,,136,3CT_17,03CT_17
22,3CT_24,03CT_24,0,3CT_24,,137,3CT_17_run2,03CT_17run2
23,3CT_94,03CT_94,0,3CT_94,,138,3CT_21,03CT_21
24,4AT_30,04AT_30,0,4AT_30,,139,3CT_24,03CT_24
25,4BG_28,04BG_28,0,4BG_28,,140,3CT_94,03CT_94
26,4BG_29,04BG_29,0,4BG_29,,141,4AT_30,04AT_30
27,4CT_32_pl,04CT_32pl,0,4CT_32_pl,,142,4BG_28,04BG_28
28,4DG_25,04DG_25,0,4DG_25,,143,4BG_29,04BG_29
29,4DG_31,04DG_31,0,4DG_31,,144,4CT_32_pl,04CT_32pl
30,4DG_32,04DG_32,0,4DG_32,,145,4DG_25,04DG_25
31,5AG_30,05AG_30,0,5AG_30,,146,4DG_31,04DG_31
32,5AG_40,05AG_40,0,5AG_40,,147,4DG_32,04DG_32
33,5BT_33,05BT_33,0,5BT_33,,148,5AG_30,05AG_30
34,5CG_33,05CG_33,0,5CG_33,,149,5AG_40,05AG_40
35,5CG_36,05CG_36,0,5CG_36,,150,5BT_33,05BT_33
36,5CG_38,05CG_38,0,5CG_38,,151,5CG_33,05CG_33
37,5DT_35,05DT_35,0,5DT_35,,152,5CG_36,05CG_36
38,6AT_44,06AT_44,0,6AT_44,,153,5CG_38,05CG_38
39,6AT_47,06AT_47,0,6AT_47,,154,5DT_35,05DT_35
40,6BG_41,06BG_41,0,6BG_41,,156,6AT_44,06AT_44
41,6CT_42,06CT_42,0,6CT_42,,157,6AT_47,06AT_47
